2021-04-03 18:24:55 INFO  Reporting:101 - Pass, Validate Attribute, value is correct for: Home Page > Search Box placeholder
2021-04-03 18:24:56 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:24:56 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:24:56 INFO  Reporting:101 - Pass, Validate Alert Text , value is correct for: No Search Keywords
2021-04-03 18:24:56 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:25:00 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:25:11 INFO  Reporting:101 - FAIL, Validate text, No Expected value present or Unable to locate the locator for: Results Text
2021-04-03 18:25:12 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:25:15 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:25:27 INFO  Reporting:101 - FAIL, Validate text, No Expected value present or Unable to locate the locator for: Results Text
