2021-04-03 18:18:49 INFO  Reporting:101 - Pass, Validate Attribute, value is correct for: Home Page > Search Box placeholder
2021-04-03 18:18:50 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:18:50 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:18:50 INFO  Reporting:101 - Pass, Validate Alert Text , value is correct for: No Search Keywords
2021-04-03 18:18:51 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:18:54 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:19:05 INFO  Reporting:101 - FAIL, Validate text, No Expected value present or Unable to locate the locator for: Results Text
2021-04-03 18:19:05 INFO  Reporting:101 - Pass, Enter Text, Succesfully entered text in Home Page > Search Box
2021-04-03 18:19:09 INFO  Reporting:101 - Pass, Verify the click element , succesfully clicked on Search Box > Magnifying glass
2021-04-03 18:19:19 INFO  Reporting:101 - FAIL, Validate text, No Expected value present or Unable to locate the locator for: Results Text
